NetworkId	setID	VNFNB	LinCapacity	NBofServices	batchSize	ExecTime	AdmittedServiceNB	AdmissionRate
Seed 12--set 0 nb of services 2 2	0	7	1000	2	20	78.0	2.0	100.0	
Seed 33--set 0 nb of services 2 2	1	7	1000	2	20	77.0	2.0	100.0	
Seed 55--set 0 nb of services 2 2	2	7	1000	2	20	2361.0	2.0	100.0	
Seed 67--set 0 nb of services 2 2	3	7	1000	2	20	151.0	2.0	100.0	
Seed 96--set 0 nb of services 2 2	4	7	1000	2	20	147.0	2.0	100.0
Seed 12--set 1 nb of services 5 2	0	7	1000	5	20	892.0	5.0	100.0	
Seed 33--set 1 nb of services 5 2	1	7	1000	5	20	4511.0	5.0	100.0	
Seed 55--set 1 nb of services 5 2	2	7	1000	5	20	2524.0	5.0	100.0	
Seed 67--set 1 nb of services 5 2	3	7	1000	5	20	1917.0	5.0	100.0	
Seed 96--set 1 nb of services 5 2	4	7	1000	5	20	1581.0	5.0	100.0	
Seed 12--set 2 nb of services 10 2	0	7	1000	10	20	26702.0	9.0	90.0	
Seed 33--set 2 nb of services 10 2	1	7	1000	10	20	12894.0	9.0	90.0	
Seed 55--set 2 nb of services 10 2	2	7	1000	10	20	35198.0	9.0	90.0	
Seed 67--set 2 nb of services 10 2	3	7	1000	10	20	25465.0	8.0	80.0	
Seed 96--set 2 nb of services 10 2	4	7	1000	10	20	40524.0	8.0	80.0	
Seed 12--set 3 nb of services 15 2	0	7	1000	15	20	94231.0	11.0	73.33333333333333	
Seed 33--set 3 nb of services 15 2	1	7	1000	15	20	75077.0	12.0	80.0	
Seed 55--set 3 nb of services 15 2	2	7	1000	15	20	355137.0	11.0	73.33333333333333	
Seed 67--set 3 nb of services 15 2	3	7	1000	15	20	70862.0	10.0	66.66666666666666	
Seed 96--set 3 nb of services 15 2	4	7	1000	15	20	93874.0	9.0	60.0	
Seed 12--set 4 nb of services 20 2	0	7	1000	20	20	464578.0	12.0	60.0	
Seed 33--set 4 nb of services 20 2	1	7	1000	20	20	247405.0	12.0	60.0	
Seed 55--set 4 nb of services 20 2	2	7	1000	20	20	3900674.0	11.0	55.00000000000001	
Seed 67--set 4 nb of services 20 2	3	7	1000	20	20	213086.0	11.0	55.00000000000001
Seed 96--set 4 nb of services 20 2	4	7	1000	20	20	2685518.0	10.0	50.0	
